S 0x600aa0,1 miss 
S 0x7ff000398,8 miss 
S 0x7ff000390,8 miss 
S 0x7ff000378,8 miss 
S 0x7ff000370,8 miss 
S 0x7ff000384,4 miss 
L 0x7ff000384,4 hit 
S 0x7ff000388,4 miss 
L 0x7ff000388,4 hit 
L 0x7ff000384,4 hit 
L 0x7ff000378,8 hit 
L 0x7ff000388,4 hit 
L 0x600a20,4 miss eviction 
S 0x7ff00038c,4 hit 
L 0x7ff000388,4 hit 
L 0x7ff000370,8 hit 
L 0x7ff000384,4 hit 
L 0x7ff00038c,4 hit 
S 0x600a60,4 miss eviction 
M 0x7ff000388,4 hit hit 
L 0x7ff000388,4 hit 
L 0x7ff000384,4 hit 
L 0x7ff000378,8 hit 
L 0x7ff000388,4 hit 
L 0x600a24,4 miss eviction 
S 0x7ff00038c,4 hit 
L 0x7ff000388,4 hit 
L 0x7ff000370,8 hit 
L 0x7ff000384,4 hit 
L 0x7ff00038c,4 hit 
S 0x600a70,4 miss eviction 
M 0x7ff000388,4 hit hit 
L 0x7ff000388,4 hit 
L 0x7ff000384,4 hit 
L 0x7ff000378,8 hit 
L 0x7ff000388,4 hit 
L 0x600a28,4 miss 
S 0x7ff00038c,4 hit 
L 0x7ff000388,4 hit 
L 0x7ff000370,8 hit 
L 0x7ff000384,4 hit 
L 0x7ff00038c,4 hit 
S 0x600a80,4 miss eviction 
M 0x7ff000388,4 hit hit 
L 0x7ff000388,4 hit 
L 0x7ff000384,4 hit 
L 0x7ff000378,8 hit 
L 0x7ff000388,4 hit 
L 0x600a2c,4 hit 
S 0x7ff00038c,4 hit 
L 0x7ff000388,4 hit 
L 0x7ff000370,8 hit 
L 0x7ff000384,4 hit 
L 0x7ff00038c,4 hit 
S 0x600a90,4 miss eviction 
M 0x7ff000388,4 hit hit 
L 0x7ff000388,4 hit 
M 0x7ff000384,4 hit hit 
L 0x7ff000384,4 hit 
S 0x7ff000388,4 hit 
L 0x7ff000388,4 hit 
L 0x7ff000384,4 hit 
L 0x7ff000378,8 hit 
L 0x7ff000388,4 hit 
L 0x600a30,4 miss eviction 
S 0x7ff00038c,4 hit 
L 0x7ff000388,4 hit 
L 0x7ff000370,8 miss eviction 
L 0x7ff000384,4 hit 
L 0x7ff00038c,4 hit 
S 0x600a64,4 miss eviction 
M 0x7ff000388,4 hit hit 
L 0x7ff000388,4 hit 
L 0x7ff000384,4 hit 
L 0x7ff000378,8 hit 
L 0x7ff000388,4 hit 
L 0x600a34,4 hit 
S 0x7ff00038c,4 hit 
L 0x7ff000388,4 hit 
L 0x7ff000370,8 hit 
L 0x7ff000384,4 hit 
L 0x7ff00038c,4 hit 
S 0x600a74,4 miss eviction 
M 0x7ff000388,4 hit hit 
L 0x7ff000388,4 hit 
L 0x7ff000384,4 hit 
L 0x7ff000378,8 hit 
L 0x7ff000388,4 hit 
L 0x600a38,4 miss eviction 
S 0x7ff00038c,4 hit 
L 0x7ff000388,4 hit 
L 0x7ff000370,8 hit 
L 0x7ff000384,4 hit 
